item_id,condition_id,group_id,text,question,response_true,response_distractor
0,a,1,The nurse supervised the administrator while a patient was brought into the emergency room.,Did the nurse supervise the administrator?,Yes,No
1,b,1,The nurse from the clinic supervised the administrator while a patient was brought into the emergency room.,Did the nurse supervise the administrator?,Yes,No
2,c,1,The nurse who was from the clinic supervised the administrator while a patient was brought into the emergency room.,Was the nurse from the clinic?,Yes,No
3,d,1,The administrator who the nurse supervised scolded the medic while a patient was brought into the emergency room.,Did the nurse supervise the administrator?,Yes,No
4,e,1,The administrator who the nurse from the clinic supervised scolded the medic while a patient was brought into the emergency room.,Did the administrator scold the medic?,Yes,No
5,f,1,The administrator who the nurse who was from the clinic supervised scolded the medic while a patient was brought into the emergency room.,Did the administrator scold the medic?,Yes,No
6,a,2,The doorman chatted with the janitor but the manager decided not to fire him for it.,Did the manager fire the janitor for chatting with the doorman?,No,Yes
7,b,2,The doorman at the hotel chatted with the janitor but the manager decided not to fire him for it.,Did the manager fire the doorman for chatting with the janitor?,No,Yes
8,c,2,The doorman who was at the hotel chatted with the janitor but the manager decided not to fire him for it.,Did the manager fire the doorman for chatting with the janitor?,No,Yes
9,d,2,The janitor who the doorman chatted with bothered a guest but the manager decided not to fire him for it.,Did the manager decide to fire the janitor?,No,Yes
10,e,2,The janitor who the doorman at the hotel chatted with bothered a guest but the manager decided not to fire him for it.,Did the manager decide to fire the janitor?,No,Yes
11,f,2,The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.,Did the manager decide to fire the janitor?,No,Yes
12,a,3,The quarterback dated the cheerleader although this hurt her reputation around school.,Did the quarterback date the cheerleader?,Yes,No
13,b,3,The quarterback on the team dated the cheerleader although this hurt her reputation around school.,Did the quarterback date the cheerleader?,Yes,No
14,c,3,The quarterback who was on the team dated the cheerleader although this hurt her reputation around school.,Did the quarterback date the cheerleader?,Yes,No
15,d,3,The cheerleader who the quarterback dated snubbed the teammates although this hurt her reputation around school.,Did the cheerleader snub her teammates?,Yes,No
16,e,3,The cheerleader who the quarterback on the team dated snubbed the teammates although this hurt her reputation around school.,Did the cheerleader date the quarterback on the team?,Yes,No
17,f,3,The cheerleader who the quarterback who was on the team dated snubbed the teammates although this hurt her reputation around school.,Did the cheerleader snub her teammates?,Yes,No
18,a,4,The fans loved the guitarist because he played with so much energy.,Did the fans love the guitarist?,Yes,No
19,b,4,The fans at the concert loved the guitarist because he played with so much energy.,Did the fans at the concert love the guitarist?,Yes,No
20,c,4,The fans who were at the concert loved the guitarist because he played with so much energy.,Did the fans at the concert love the guitarist?,Yes,No
21,d,4,The guitarist who the fans loved injured a spectator because he played with so much energy.,Did the guitarist injure a spectator?,Yes,No
22,e,4,The guitarist who the fans at the concert loved injured a spectator because he played with so much energy.,Did the guitarist injure a spectator?,Yes,No
23,f,4,The guitarist who the fans who were at the concert loved injured a spectator because he played with so much energy.,Did the guitarist injure a spectator?,Yes,No
24,a,5,The rebels captured the diplomat after they threatened to kill his family for not complying with their demands.,Did the rebels capture the diplomat?,Yes,No
